Carrier,carrier_clustered
MULTIFREIGHT CONSOLIDATOR SYSTEM INC,MULTIFREIGHT CONSOLIDATOR SYSTEM INC
SANGAMON TRANSPORTATION GROUP,SANGAMON TRANSPORTATION GROUP
NNR GLOBAL LOGISTICS (PHILIPPINES) INC,NNR GLOBAL LOGISTICS
SAMHO SHIPPING CO LTD,SAMHO SHIPPING CO LTD
FOSS INTERNATIONAL INC,FOSS INTERNATIONAL INC
COASTAL STEVEDORING COMPANY,COASTAL STEVEDORING COMPANY
DIANIK BROSS SHIPPING CORP S A,DIANIK BROSS SHIPPING CORP S A
MARATHON LINE N Y INC,MARATHON LINE N Y INC
NOR STAR SHIP MANAGEMENT PTE LTD,NOR STAR SHIP MANAGEMENT PTE LTD
BILKA DENIZCILIK SAN TIC AS,BILKA DENIZCILIK SAN TIC AS
ICECHEM TANKERS LTD,ICECHEM TANKERS LTD
INTELLIGENT SCM LLC,INTELLIGENT SCM LLC
INTERPORT,INTERPORT
NEPTUNE LINES INC,NEPTUNE LINES INC
CROWLEY MARINE SOLUTIONS INC,CROWLEY MARINE SOLUTIONS INC
ITG OCEAN EXPRESS LINE,ITG OCEAN EXPRESS LINE
HERFO A/S,HERFO A/S
VIKING OCEAN CRUISES SHIP I LTD,VIKING OCEAN CRUISES SHIP I LTD
SEAWORLD MANAGEMENT & TRADING INC,SEAWORLD MANAGEMENT & TRADING INC
TRANSOCEAN DEEPWATER DRILLING INC,TRANSOCEAN DEEPWATER DRILLING INC
BHP BILLITON PETROLEUM (AMERICAS) INC,BHP BILLITON PETROLEUM (AMERICAS) INC
B & P EXPRESS TRANPORT LLC,B & P EXPRESS TRANPORT LLC
DIAMOND OFFSHORE COMPANY,DIAMOND OFFSHORE COMPANY
AGENCIA MARITIMA MARTIN S R L,AGENCIA MARITIMA MARTIN S R L
KEY MARITIME REDERI A/S,KEY MARITIME REDERI A/S
WORLD LOGISTICS SERVICE (USA) INC,WORLD LOGISTICS SERVICE (USA) INC
ELMIRA TANKERS MANAGEMENT S A,ELMIRA TANKERS MANAGEMENT S A
TRANSPORTADORA MARITIME DE BAJA CALIFORNIA S A DE C V,TRANS BORDER GLOBAL FREIGHT SYSTEMS INC
PACNAV S A,PACNAV S A
LD COMMODITIES OCEAN FREIGHT LLC,LD COMMODITIES OCEAN FREIGHT LLC
NORVIC SHIPPING INTERNATIONAL LTD,NORVIC SHIPPING INTERNATIONAL LTD
ACE SHIPPING A/S,ACE SHIPPING A/S
THETIS SHIPPING COMPANY LIMITED,THETIS SHIPPING COMPANY LIMITED
K & S FREIGHT SYSTEMS INC,K & S FREIGHT SYSTEMS INC
PMI TRADING LIMITED,PMI TRADING LIMITED
ROLYMPUS (US) COMMODITIES GROUP LLC,ROLYMPUS (US) COMMODITIES GROUP LLC
TRANSPORTACION MARITIMA MEXICANA S A DE C V,TRANS BORDER GLOBAL FREIGHT SYSTEMS INC
ALEXANDER & BLAKE LTD,ALEXANDER & BLAKE LTD
MARCONSULT SCHIFFAHRT GMBH & CO KG,MARCONSULT SCHIFFAHRT GMBH & CO KG
UNISHIPPING MARITIME SERVICES,UNISHIPPING MARITIME SERVICES
SEA HAWK MARINE LOGISTICS LLC,SEA HAWK MARINE LOGISTICS LLC
TRAILER BRIDGE INC,TRAILER BRIDGE INC
COSTA CRUISE LINES INC COSTA GROUP,COSTA CRUISE LINES INC COSTA GROUP
GREEN CHARTERING A/S,GREEN CHARTERING A/S
BTG PACTUAL COMMODITIES (SWITZERLAND) SA,BTG PACTUAL COMMODITIES (SWITZERLAND) SA
HYBUR LTD,HYBUR LTD
Q SHIPPING B V,Q SHIPPING B V
CAL DIVE OFFSHORE CONTRACTORS INC,CAL DIVE OFFSHORE CONTRACTORS INC
HAWAII INTERMODAL TANK TRANSPORT,HAWAII INTERMODAL TANK TRANSPORT
CARIBBEAN SHIPPING LTD,CARIBBEAN SHIPPING LTD
NAFTA GULF BRIDGE,NAFTA GULF BRIDGE
TREVERTON LTD,TREVERTON LTD
LEMISSOLER SHIPMANAGEMENT LTD,LEMISSOLER SHIPMANAGEMENT LTD
DRY BULK HANDY HOLDINGS INC,DRY BULK HANDY HOLDINGS INC
PACCSHIP (UK) LIMITED,PACCSHIP (UK) LIMITED
E D & F MAN SHIPPING LTD,E D & F MAN SHIPPING LTD
PACIFIC SHIP MANAGERS MALAYSIA,PACIFIC SHIP MANAGERS MALAYSIA
SETAF SAGET,SETAF SAGET
A M N BULK CARRIERS INC,A M N BULK CARRIERS INC
IMPERIAL EAGLE SHIPPING LLC,IMPERIAL EAGLE SHIPPING LLC
WESTPORT MARITIME LLC,WESTPORT MARITIME LLC
TWENTY FOUR (24) VISION CHARTERING SOLUTIONS,TWENTY FOUR (24) VISION CHARTERING SOLUTIONS
DRY BULK SINGAPORE PTE LTD,DRY BULK SINGAPORE PTE LTD
NACHIPA,NACHIPA
SONOMA SUPRAMAX AS,SONOMA SUPRAMAX AS
HELIX ENERGY SOLUTIONS GROUP INC,HELIX ENERGY SOLUTIONS GROUP INC
MAMMOET SALVAGE AMERICAS INC,MAMMOET SALVAGE AMERICAS INC
GENER8 MARITIME MANAGEMENT LLC,GENER8 MARITIME MANAGEMENT LLC
CRYSTAL CRUISES,CRYSTAL CRUISES
DIAMOND OFFSHORE DRILLING INC,DIAMOND OFFSHORE COMPANY
HEEREMA MARINE CONTRACTORS,HEEREMA MARINE CONTRACTORS
MCDERMOTT INC,MCDERMOTT INC
SEAGULL MARINE INC,SEAGULL MARINE INC
CANAL BARGE COMPANY INC,CANAL BARGE COMPANY INC
EPIC DIVING & MARINE SERVICES LLC,EPIC DIVING & MARINE SERVICES LLC
MYKLEBUSTHAUG MANAGEMENT A S,MYKLEBUSTHAUG MANAGEMENT A S
OCEAN SERVICES LLC,OCEAN SERVICES LLC
TTMI SARL,TTMI SARL
SHL OFFSHORE CONTRACTORS BV,SHL OFFSHORE CONTRACTORS BV
EMAS AMC,EMAS AMC
OCEANIA CRUISES INC,OCEANIA CRUISES INC
VICTORY MARITIME SERVICES USA,VICTORY MARITIME SERVICES USA
NFENERGIA LLC,NFENERGIA LLC
NORWEGIAN CRUISE LINES,NORWEGIAN CRUISE LINES
DORICK NAVIGATION S A,DORICK NAVIGATION S A
SEA MERCHANTS LINE INC,SEA MERCHANTS LINE INC
SILVERSEA CRUSIES LTD,SILVERSEA CRUISES LTD
BLETSCH STEAMSHIP COMPANY,BLETSCH STEAMSHIP COMPANY
HONOLULU MARINE LLC,HONOLULU MARINE LLC
BOYER TOWING INC,BOYER TOWING INC
SEABED GEOSOLUTIONS INC,SEABED GEOSOLUTIONS INC
NOBLE DRILLING (US) LLC,NOBLE DRILLING (US) LLC
ENERGY RESOURCE TECHNOLOGY GOM LLC,ENERGY RESOURCE TECHNOLOGY GOM LLC
ENSCO INTERNATIONAL INCORPORATED,ENSCO INTERNATIONAL INCORPORATED
WESTERN GECO LLC,WESTERN GECO LLC
FUGRO SEABED SEISMIC SYSTEMS JLT,FUGRO SEABED SEISMIC SYSTEMS JLT
EXXONMOBIL DEVELOPMENT COMPANY,EXXONMOBIL DEVELOPMENT COMPANY
ENSCO OFFSHORE COMPANY,ENSCO OFFSHORE COMPANY
BOA OFFSHORE AS,BOA OFFSHORE AS
WOODS HOLE OCEANOGRAPHIC INSTITUTION,WOODS HOLE OCEANOGRAPHIC INSTITUTION
MOLLER SUPPLY SERVICES,MOLLER SUPPLY SERVICES
CHEVRON NORTH AMERICA  EXPLORATION & PRODUCTION COMPANY,CHEVRON NORTH AMERICA  EXPLORATION & PRODUCTION COMPANY
CHEVRON NORTH AMERICA EXPLORATION & PRODUCTION COMPANY,CHEVRON NORTH AMERICA  EXPLORATION & PRODUCTION COMPANY
2DODO CARGO INC,2DODO CARGO INC
CRANE WORLDWIDE LOGISTICS LLC,CRANE WORLDWIDE LOGISTICS LLC
"AMERICAN PONTOON CO LLC, THE","AMERICAN PONTOON CO LLC, THE"
OCEANEERING INTERNATIONAL INC,OCEANEERING INTERNATIONAL INC
RANGER OFFSHORE INCORPORATED,RANGER OFFSHORE INCORPORATED
NORD-SUD SHIPPING INC,NORD-SUD SHIPPING INC
TALOS PRODUCTION LLC,TALOS PRODUCTION LLC
SBM STONE OPERATIONS LLC,SBM STONE OPERATIONS LLC
INCHCAPE SHIPPING SERVICES,INCHCAPE SHIPPING SERVICES
GAC SHIPPING (USA) INC,GAC SHIPPING (USA) INC
PARAGON OFFSHORE,PARAGON OFFSHORE
EPIC COMPANIES LLC,EPIC COMPANIES LLC
ARFA MANAGEMENT SIA,ARFA MANAGEMENT SIA
MCCULLEY MARINE SERVICES INC,MCCULLEY MARINE SERVICES INC
AET INC LTD,AET INC LTD
MCKEIL MARINE LIMITED,MCKEIL MARINE LIMITED
CROWLEY PUERTO RICO SERVICES INC,CROWLEY PUERTO RICO SERVICES INC
MID-SOUTH FEEDS INC,MID-SOUTH FEEDS INC
SEACLIFF AGENCY LLC,SEACLIFF AGENCY LLC
RESOLVE MARINE GROUP INC,RESOLVE MARINE GROUP INC
WEEKS MARINE INC,WEEKS MARINE INC
TUI CRUISES GMBH,TUI CRUISES GMBH
CONCORD MARITIME LLC,CONCORD MARITIME LLC
CARIBBEAN EXPRESS LINE,CARIBBEAN EXPRESS LINE
MYSTIC NAVIGATION LTD,MYSTIC NAVIGATION LTD
FALCON NAVIGATION A/S,FALCON NAVIGATION A/S
SALMON BAY BARGE LINE INC,SALMON BAY BARGE LINE INC
FMW TOWING,FMW TOWING
SEABRIDGE MARINE SERVICES LTD,SEABRIDGE MARINE SERVICES LTD
WESTERN TOWBOAT COMPANY,WESTERN TOWBOAT COMPANY
AMIX MARINE SERVICES LTD,AMIX MARINE SERVICES LTD
ISLAND TUG & BARGE CO,ISLAND TUG & BARGE CO
HARKEN TOWING CO LTD,HARKEN TOWING CO LTD
FOREWEST MARITIME,FOREWEST MARITIME
MERCURY LAUNCH & TUG LTD,MERCURY LAUNCH & TUG LTD
ASAP AUTO TRANSPORT,ASAP AUTO TRANSPORT
CSAL CANADA STATES AFRICA LINE INC,CSAL CANADA STATES AFRICA LINE INC
INTERUNITY MANAGEMENT CORPORATION SA,A & A INTERNATIONAL FREIGHT FORWARDERS
PRISCO (SINGAPORE) PTE LTD,PRISCO (SINGAPORE) PTE LTD
MARUBENI CORPORATION,MARUBENI CORPORATION
OCEAN SEVEN (7) PROJECTS APS,OCEAN SEVEN (7) PROJECTS APS
PURVIS MARINE LIMITED,PURVIS MARINE LIMITED
BASIC TOWING INC,BASIC TOWING INC
NAVIGATION DESGAGNES INC,NAVIGATION DESGAGNES INC
CANADA STEAMSHIP LINES INC,CANADA STEAMSHIP LINES INC
SEAWAY MARINE TRANSPORT,SEAWAY MARINE TRANSPORT
ALGOMA CENTRAL CORPORATION,ALGOMA CENTRAL CORPORATION
PERE MARQUETTE SHIPPING COMPANY,PERE MARQUETTE SHIPPING COMPANY
ALGOMA TANKERS,ALGOMA TANKERS
WORLD SHIPPING INC,WORLD SHIPPING INC
LOWER LAKES TRANSPORTATION COMPANY,LOWER LAKES TOWING LTD
CARRIAGE SHIPPING INC,CARRIAGE SHIPPING INC
MCINNIS CEMENT,MCINNIS CEMENT
CLDN COBELFRET PTE LTD,CLDN COBELFRET PTE LTD
DEAN CONSTRUCTION COMPANY LIMITED,DEAN CONSTRUCTION COMPANY LIMITED
ANDRIE INC,ANDRIE INC
ALCAN TRADING LTD,ALCAN TRADING LTD
INTERNATIONAL PACIFIC HALIBUT COMMISSION,A & A INTERNATIONAL FREIGHT FORWARDERS
IDEMITSU TANKER CO LTD,IDEMITSU TANKER CO LTD
DUNLAP TOWING COMPANY,DUNLAP TOWING COMPANY
NORTH PACIFIC,NORTH PACIFIC
AMERICAN STEAMSHIP COMPANY,AMERICAN STEAMSHIP COMPANY
"INTERLAKE STEAMSHIP COMPANY, THE",INTERLOG USA INC
COOKE AQUACULTURE INC,COOKE AQUACULTURE INC
STAR MARINE INC,STAR MARINE INC
HAPPACH MARINE LTD,HAPPACH MARINE LTD
APPLE RIVER FISHING LTD,APPLE RIVER FISHING LTD
LASQUETI STEELER FISHING CO LTD,LASQUETI STEELER FISHING CO LTD
LUND FISHNG CO LTD,LUND FISHNG CO LTD
ASHTON MARINE LLC,ASHTON MARINE LLC
YARASHIP AS,YARASHIP AS
CARGO CONSOLIDATORS AGENCY LTD,CARGO CONSOLIDATION CORP
BERNUTH AGENCIES INC,BERNUTH AGENCIES INC
TRANSPORTES MARITIMOS LAMOL INC,TRANS BORDER GLOBAL FREIGHT SYSTEMS INC
TIDEWATER MARINE LLC,TIDEWATER MARINE LLC
AMERICAN SHIPPING AND CHARTERING CORP,AMERICAN SHIPPING AND CHARTERING CORP
KNUTSEN O A S SHIPPING A/S,KNUTSEN O A S SHIPPING A/S
SEA STAR LINE LLC,SEA STAR LINE LLC
ARKLOW SHIPPING,ARKLOW SHIPPING
TOTE MARITIME PUERTO RICO LLC,TOTE MARITIME PUERTO RICO LLC
BLACK HAWK SHIPPING ENTERPRISES INC,BLACK HAWK SHIPPING ENTERPRISES INC
BOREALIS DENIZCILIK A.S.,BOREALIS DENIZCILIK A.S.
MTM SHIP MANAGMENT PTE LTD,MTM SHIP MANAGMENT PTE LTD
LIMETREE BAY REFINING LLC,LIMETREE BAY REFINING LLC
MOBRO MARINE INC,MOBRO MARINE INC
A TWO S (A2S) LOGISTICS CO LTD,A TWO S (A2S) LOGISTICS CO LTD
WICE LOGISTICS PUBLIC COMPANY LIMITED,WICE LOGISTICS PUBLIC COMPANY LIMITED
LEO TRANSPORT CORPORATION LTD,LEO TRANSPORT CORPORATION LTD
AP SHIPPING INC,AP SHIPPING INC
NCL INTERNATIONAL LOGISTICS USA INC,NCL INTERNATIONAL LOGISTICS USA INC
NNR GLOBAL LOGISTICS (THAILAND) CO LTD,NNR GLOBAL LOGISTICS
HEADWIN INTERNATIONAL LOGISTICS LLC,HEADWIN INTERNATIONAL LOGISTICS LLC
BNSF LOGISTICS INTERNATIONAL INC,BNSF LOGISTICS INTERNATIONAL INC
NNR GLOBAL LOGISTICS (M) SDN BHD,NNR GLOBAL LOGISTICS
ROYAL CARGO LINE INC,ROYAL CARGO LINE INC
PACIFIC BULK ENTERPRISES COMPANY LIMITED,PACIFIC BULK ENTERPRISES COMPANY LIMITED
RED BOX ENERGY SERVICES,RED BOX ENERGY SERVICES
EPPS SHIPPING,EPPS SHIPPING
C & F WORLDWIDE AGENCY CORP,C & F WORLDWIDE AGENCY CORP
NOVASTAR TRANSPORT LLC,NOVASTAR TRANSPORT LLC
LSP LINE,LSP LINE
EASTERN PACIFIC SHIPPING PTE LTD,EASTERN BULK AS
SCHUYLER LINE NAVIGATION,SCHUYLER LINE NAVIGATION
DMJ ENTERPRISES INC,DMJ ENTERPRISES INC
SYSTEM LINE CARGO,SYSTEM LINE CARGO
G & G MARINE INC,G & G MARINE INC
BORINKEN MARINE AGENCY INC,BORINKEN MARINE AGENCY INC
M O T INTERMODAL SHIPPING INC,M O T INTERMODAL SHIPPING INC
TRANSWAYS LOGISTICS INTERNATIONAL INC,TRANSWAYS LOGISTICS INTERNATIONAL INC
NAVIA LOGISITCS PTY LTD,NAVIA LOGISITCS PTY LTD
FRONTLINE AB,FRONTLINE AB
SKY 2 C FREIGHT SYSTEMS INC,SKY 2 C FREIGHT SYSTEMS INC
CORY BROTHERS (USA) INC,CORY BROTHERS (USA) INC
EIRINI MARITIME LTD,EIRINI MARITIME LTD
IONIC SHIPPING MGT INC,IONIC SHIPPING MGT INC
HUDSON SHIPPING LINES INC,HUDSON SHIPPING LINES INC
ABAN ABRAHAM PTE LTD,ABAN ABRAHAM PTE LTD
AAPO LOGISTICS INC,AAPO LOGISTICS INC
FINAVAL S P A,FINAVAL S P A
LIBERTY ONE SHIPMANAGEMENT GMBH & CO KG,LIBERTY ONE SHIPMANAGEMENT GMBH & CO KG
ORIENTAL SPIRIT SHIPPING LIMITED,ORIENTAL SPIRIT SHIPPING LIMITED
NYK BULKSHIP (ATLANTIC) NV,NYK BULKSHIP (ASIA) PTE LTD
POLA MARIS NV,POLA MARIS NV
"VEDER, ANTHONY CHARTERING B V","VEDER, ANTHONY CHARTERING B V"
SEATRANS CHEMICAL TANKERS AS,SEATRANS CHEMICAL TANKERS AS
STRIDENT FORCE MARITIME LTD,STRIDENT FORCE MARITIME LTD
FAYETTE INTERNATIONAL HOLDINGS LIMITED,FAYETTE INTERNATIONAL HOLDINGS LIMITED
FAYETTE INTERNATIONAL HOLDINGS LTD,FAYETTE INTERNATIONAL HOLDINGS LIMITED
WILBAR CATTLE CO,WILBAR CATTLE CO
FRATELLI D'AMATO ARMATORI SPA,FRATELLI D'AMATO ARMATORI SPA
BHP BILLITON MARKETING INC,BHP BILLITON MARKETING INC
ECOSHIP SENDIRIAN BERHAD,ECOSHIP SENDIRIAN BERHAD
ASIA MARITIME PACIFIC (SINGAPORE) PTE LTD,ASIA MARITIME PACIFIC (SHANGHAI) LIMITED
GLOBAL MARITIME TRUST (S) PTE LTD,GLOBAL MARITIME TRUST (S) PTE LTD
ISLAND VIEW SHIPPING (PTY) LTD,ISLAND VIEW SHIPPING (PTY) LTD
HANARO SHIPPING CO LTD,HANARO SHIPPING CO LTD
COUNTESS SHIPPING CO LTD,COUNTESS SHIPPING CO LTD
YM FUJI SHIPPING LIMITED,YM FUJI SHIPPING LIMITED
YM AMAZON SHIPPING LTD,YM AMAZON SHIPPING LTD
OLIVE SHIPMANAGEMENT INC,OLIVE SHIPMANAGEMENT INC
NAVITRAMP FREIGHT AGENCY LIMITED,NAVITRAMP FREIGHT AGENCY LIMITED
CONTILINES NV,CONTI-LINES SHIPPING NV
TOP GUN PETROLEUM TRANSPORTS,TOP GUN PETROLEUM TRANSPORTS
BOCIMAR INTERNATIONAL NV,BOCIMAR INTERNATIONAL NV
EASTERN BULK CARRIERS AS,EASTERN BULK AS
SAFMARINE MPV N V,SAFMARINE MPV N V
MAERSK-RICKMERS US FLAG PROJECT CARRIER,MAERSK-RICKMERS US FLAG PROJECT CARRIER
SIDER NAVI SPA,SIDER NAVI SPA
SIL LINE,SIL LINE
CAF WORLDWIDE INC (OCEAN FREIGHT),CAF WORLDWIDE INC (OCEAN FREIGHT)
DART EXPRESS (NYC) INC,DART EXPRESS (NYC) INC
COLI BULK CARRIERS GMBH,COLI BULK CARRIERS GMBH
TIDE LINE INC,TIDE LINE INC
ROXANA SHIPPING S A,ROXANA SHIPPING S A
SOUTH THIRTY TWO (SOUTH32) MARKETING PTE LTD,SOUTH THIRTY TWO (SOUTH32) MARKETING PTE LTD
Q LINE,Q LINE
QUALITY RED SHIPPING LINE LIMITED,QUALITY RED SHIPPING LINE LIMITED
WILSON EURO CARRIERS AS,WILSON EURO CARRIERS AS
TEEKAY CORPORATION,TEEKAY CORPORATION
PANTHEON TANKERS MANAGEMENT LTD,PANTHEON TANKERS MANAGEMENT LTD
GULF-INLAND MARINE SERVICES INC,GULF-INLAND MARINE SERVICES INC
EXMAR,EXMAR
BYZANTINE MARITIME GAS PTE LTD,BYZANTINE MARITIME GAS PTE LTD
CSS BAHRAIN,CSS BAHRAIN
STATE COMPANY FOR MARITIME TRANSPORT (SCMT),STATE COMPANY FOR MARITIME TRANSPORT (SCMT)
TIRYAKI AGRO GIDA SANAYI VE TICARET A S,TIRYAKI AGRO GIDA SANAYI VE TICARET A S
SAMJOO MARITIME CO LTD,SAMJOO MARITIME CO LTD
SIMTRA INTERNATIONAL LLC,SIMTRA INTERNATIONAL LLC
GENERAL SHIPPING SERVICES LTD,GENERAL SHIPPING SERVICES LTD
TIRYAKI SHIPPING FZ LLC,TIRYAKI SHIPPING FZ LLC
TERAS BBC CHARTERING LLC,TERAS BBC CHARTERING LLC
DAIMON LOGISTICS USA,DAIMON LOGISTICS USA
JMS INTERNATIONAL TRANSPORT & FOREIGN TRADE LTD,JANCO INTERNATIONAL FREIGHT (CHINA) LIMITED
INTRANSIA WORLD WISE LOGISTIC INC,INTRANSIA WORLD WISE LOGISTIC INC
SBB INTERNATIONAL SHIPPING LLC,SBB INTERNATIONAL SHIPPING LLC
ALFA SHIPPING S A,ALFA SHIPPING S A
KRISTIAN GERHARD JEBSEN SKIPSREDERI AS,KRISTIAN GERHARD JEBSEN SKIPSREDERI AS
MONARCH GROUP INTERNATIONAL LLC,MONARCH GROUP INTERNATIONAL LLC
NORTH PORT LOGISTICS LLC,NORTH PORT LOGISTICS LLC
CASTLEGATE LOGISTICS INC,CASTLEGATE LOGISTICS INC
JMS ULUSLARARASI TASIMACILIK VE DIS TIC LTD STI,JMS ULUSLARARASI TASIMACILIK VE DIS TIC LTD STI
"SHAPIRO, SAMUEL & CO INC","SHAPIRO, SAMUEL & CO INC"
DENAK DEPOCULUK VE NAKLIYECILIK A S,DENAK DEPOCULUK VE NAKLIYECILIK A S
NIT LOGISTICS INC,NIT LOGISTICS INC
NUR GEMICILIK VE TICARET A S,NUR GEMICILIK VE TICARET A S
CEBI KAPTAN DENIZCILIK VE TIC AS,CEBI KAPTAN DENIZCILIK VE TIC AS
CEBI DENIZCILIK VE TICARET AS,CEBI DENIZCILIK VE TICARET AS
EFE,EFE
G W NAVIGATION INC TRUST CO COMPLEX AJELTAKE ISL,G W NAVIGATION INC TRUST CO COMPLEX AJELTAKE ISL
NEMTAS NEMRUT LIMAN ISLETMELERI A S,NEMTAS NEMRUT LIMAN ISLETMELERI A S
PASIFIK LOJISTIK GRUBU VE DENIZCILIK A S,PASIFIK LOJISTIK GRUBU VE DENIZCILIK A S
GARIP MARITIME LTD,GARIP MARITIME LTD
AMISOS MARITIME LTD,AMISOS MARITIME LTD
SAGITTARIUS SHIPOWNING LIMITED,SAGITTARIUS SHIPOWNING LIMITED
WORLDWIDE INVESTMENT CORP,WORLDWIDE INVESTMENT CORP
BULK AND METAL TRANSPORT (UK) LLP,BULK AND METAL TRANSPORT (UK) LLP
VARAMAR LTD,VARAMAR LTD
BORUSAN LOJISTIK DAGITIM DEPOLAMA TASIMACILIK VE TICARET AS,BORUSAN LOJISTIK DAGITIM DEPOLAMA TASIMACILIK VE TICARET AS
NAVIGATORE SA,NAVIGATORE SA
MARDAS MARMARA DENIZCILIK ISLETMECILIGI AS,MARDAS MARMARA DENIZCILIK ISLETMECILIGI AS
KARDENIZ SHIPPING MANAGEMENT CO INC,KARDENIZ SHIPPING MANAGEMENT CO INC
SIGMA SHIPPING INC,SIGMA SHIPPING INC
DENSAY SHIPPING AND TRADING DMCC,DENSAY SHIPPING AND TRADING DMCC
DILEK DENIZCILIK VE TICARET A S,DILEK DENIZCILIK VE TICARET A S
AB MARITIME INC,AB MARITIME INC
CAPELLA SHIPPING LLC,CAPELLA SHIPPING LLC
INCE DENIZCILIK VE TIC A S,INCE DENIZCILIK VE TIC A S
BONJA SHIPPING CO LTD,BONJA SHIPPING CO LTD
ASIK INTERNATIONAL INC,ASIK INTERNATIONAL INC
MIACHART LLC,MIACHART LLC
EMIRATES BULK CARRIERS LLC,EMIRATES BULK CARRIERS LLC
BERGE BULK MARITIME PTE LTD,BERGE BULK MARITIME PTE LTD
H CAN MARITIME,H CAN MARITIME
ALCYON SHIPPING CO LTD,ALCYON SHIPPING CO LTD
NOVA SHIP TECH S A,NOVA SHIP TECH S A
FIBER DENIZCILIK VE GEMI ISLETMECILIGI TIC A S,FIBER DENIZCILIK VE GEMI ISLETMECILIGI TIC A S
MONDIALE FREIGHT SERVICES,MONDIALE FREIGHT SERVICES
BURNARD INTERNATIONAL,BURNARD INTERNATIONAL
SCHOOL OF OCEANOGRAPHY UNIVERSITY OF WASHINGTON,SCHOOL OF OCEANOGRAPHY UNIVERSITY OF WASHINGTON
OVERSEAS ARGENTINA SA,OVERSEAS ARGENTINA SA
CSI GLOBAL,CSI GLOBAL
DRAGONERA SHIPPING A/S,DRAGONERA SHIPPING A/S
TRAMMO NAVIGATION PTE LTD,TRAMMO NAVIGATION LTD
INTREPID SHIPPING LLC,INTREPID SHIPPING LLC
LOUIS DREYFUS COMPANY SUISSE SA,LOUIS DREYFUS ARMATEURS (S N C)
H DANTAS COMERCIO NAVEGACAO E INDUSTRIA LTDA,H DANTAS COMERCIO NAVEGACAO E INDUSTRIA LTDA
VARNA SHIPPING AND TRADING LTD,VARNA SHIPPING AND TRADING LTD
OYSTER SHIPPING LTD,OYSTER SHIPPING LTD
CONSOLIDATED MARINE MANAGEMENT INC,CONSOLIDATED MARINE MANAGEMENT INC
INTEROCEAN LINES INC,INTEROCEAN LINES INC
DELIAN GRACE SHIPPING INC,DELIAN GRACE SHIPPING INC
D'AMICO SHIPPING ITALIA SPA,D'AMICO SHIPPING ITALIA SPA
SAGITTA MARINE S A,SAGITTA MARINE S A
ALISTA MARITIME INC,ALISTA MARITIME INC
"STONE, WM LOGISTICS LLC","STONE, WM LOGISTICS LLC"
BIMINI SHIPPING LLC,BIMINI SHIPPING LLC
USA MARITIME ENTERPRISES INC,USA MARITIME ENTERPRISES INC
OCTAVE INTERNATIONAL HOLDINGS LTD,OCTAVE INTERNATIONAL HOLDINGS LTD
"MAILBOAT COMPANY LTD, THE","MAILBOAT COMPANY LTD, THE"
SEACOR ISLAND LINES LLC,SEACOR ISLAND LINES LLC
BALEARIA CARIBBEAN LTD CORP,BALEARIA CARIBBEAN LTD CORP
DEANS SHIPPING COMPANY LTD,DEANS SHIPPING COMPANY LTD
BOAR CARRIER LLC,BOAR CARRIER LLC
PARADISE CRUISE LINE OPERATOR LTD,PARADISE CRUISE LINE OPERATOR LTD
UNITED ABACO SHIPPING,UNITED ABACO SHIPPING
GULFSTREAM LINE INC,GULFSTREAM LINE INC
MONARCH SHIPPING CO LTD,MONARCH SHIPPING CO LTD
WATERWAYS SHIPPING INC,WATERWAYS SHIPPING INC
BAHAMAS FERRIES LTD,BAHAMAS FERRIES LTD
ALPI USA INC,ALPI USA INC
NEWPORT S A,NEWPORT S A
HAMBURG REEFER CHARTERING GMBH,HAMBURG REEFER CHARTERING GMBH
MAESTRO REEFERS LTD,MAESTRO REEFERS LTD
LAVINIA CORPORATION,LAVINIA CORPORATION
ROMULUS COMMERCIAL LIMITED,ROMULUS COMMERCIAL LIMITED
WALLEM GMBH & CO KG,WALLEM GMBH & CO KG
TRANSATLANTIC SHIPPING AB,TRANSATLANTIC LINES LLC
ICE TRANSPORT CO INC,ICE TRANSPORT CO INC
ANDRIAKI SHIPPING CO LTD,ANDRIAKI SHIPPING CO LTD
MGD SHIPPING S P A,MGD SHIPPING S P A
EOLOS SHIPMANAGEMENT S A,EOLOS SHIPMANAGEMENT S A
NOORDRIVER SHIPPING BV,NOORDRIVER SHIPPING BV
EASTMED COMPANY S A,EASTMED COMPANY S A
LOAD LINE MARINE SA,LOAD LINE MARINE SA
MARVIN SHIPPING SERVICES INC,MARVIN SHIPPING SERVICES INC
PYXIS MARITIME CORP,PYXIS MARITIME CORP
ISLAND VIEW SHIPPING INTERNATIONAL PTE LTD,ISLAND VIEW SHIPPING (PTY) LTD
KAPTAN DENIZCILIK VE TURIZM A S,KAPTAN DENIZCILIK VE TURIZM A S
"STINNES, H LINEN GMBH","STINNES, H LINEN GMBH"
BW GAS AS,BW GAS AS
INTELL SCM,INTELL SCM
INUI GLOBAL LOGISTICS CO LTD,INUI GLOBAL LOGISTICS CO LTD
MAESTRO BULK,MAESTRO BULK
INTERNATIONAL LOGISTICS,A & A INTERNATIONAL FREIGHT FORWARDERS
ALBERTA SHIPMANAGEMENT LTD,ALBERTA SHIPMANAGEMENT LTD
TRI-NET (JAPAN) INC (BULK TRANSPORT DIVISION),TRI-NET (JAPAN) INC
THRUTAINERS INTERNATIONAL,THRUTAINERS INTERNATIONAL
